voltage,time
2.875,24.188584804534912
2.875,24.29361367225647
2.887,24.39849305152893
2.887,24.50337839126587
2.887,24.608274459838867
2.887,24.713162660598755
2.887,24.818049430847168
2.9,24.922940492630005
2.9,25.028547525405884
2.9,25.13366389274597
2.9,25.238823890686035
2.9,25.344156742095947
2.9,25.44921875
2.913,25.554859399795532
2.913,25.65993881225586
2.913,25.765012741088867
2.913,25.870123147964478
2.913,25.975208520889282
2.926,26.080302953720093
2.926,26.185345888137817
2.926,26.29044771194458
2.926,26.39554190635681
2.926,26.50061869621277
2.926,26.605618238449097
2.926,26.71073007583618
2.939,26.815773248672485
2.939,26.92085289955139
2.939,27.026111602783203
2.939,27.131258010864258
2.939,27.236377000808716
2.939,27.341957807540894
2.952,27.447017669677734
2.952,27.552151679992676
2.952,27.657163381576538
2.952,27.762274980545044
2.952,27.867321014404297
2.952,27.972553968429565
2.952,28.07775378227234
2.952,28.182806491851807
2.965,28.287841081619263
2.965,28.392969369888306
2.965,28.498053789138794
2.965,28.603254556655884
2.965,28.708279132843018
2.965,28.813408613204956
2.965,28.91853928565979
2.978,29.02376103401184
2.978,29.128840446472168
2.978,29.233890533447266
2.978,29.338783264160156
2.978,29.443665266036987
2.978,29.548653841018677
2.978,29.653549194335938
2.978,29.758612871170044
2.978,29.863502740859985
2.991,29.96838617324829
2.991,30.073464393615723
2.991,30.17855143547058
2.991,30.28366470336914
2.991,30.388744115829468
2.991,30.49380350112915
2.991,30.598893642425537
2.991,30.70390272140503
2.991,30.80898928642273
2.991,30.91409206390381
3.004,31.01925015449524
2.991,31.12430429458618
2.965,31.22936177253723
2.926,31.33451509475708
2.9,31.439605951309204
2.862,31.54526972770691
2.836,31.65056276321411
2.797,31.75566554069519
2.771,31.860716342926025
2.746,31.96583390235901
2.707,32.07085919380188
2.681,32.176048040390015
2.655,32.281111001968384
2.63,32.38619303703308
2.591,32.49129629135132
2.565,32.59634613990784
2.539,32.70146942138672
2.514,32.80651307106018
2.488,32.911574363708496
2.449,33.01676607131958
2.423,33.12186622619629
2.398,33.226903676986694
2.372,33.33247423171997
2.346,33.43768262863159
2.32,33.54297637939453
2.295,33.64808177947998
2.269,33.753180503845215
2.243,33.85826921463013
2.217,33.96351194381714
2.204,34.068567752838135
2.179,34.17365527153015
2.153,34.27864909172058
2.127,34.38353109359741
2.101,34.488396406173706
2.088,34.59326910972595
2.062,34.698134899139404
2.037,34.80301761627197
2.011,34.90790057182312
1.998,35.01307535171509
1.972,35.11813282966614
1.946,35.22317409515381
1.934,35.32854080200195
1.908,35.43360710144043
1.895,35.53901743888855
1.869,35.64412879943848
1.856,35.749404430389404
1.83,35.85450458526611
1.805,35.95959138870239
1.792,36.06503772735596
1.766,36.17010498046875
1.753,36.27518606185913
1.74,36.38028883934021
1.714,36.485445499420166
1.702,36.59051203727722
1.676,36.69563031196594
1.663,36.80070090293884
1.65,36.9057891368866
1.624,37.0108380317688
1.611,37.11587595939636
1.598,37.220919370651245
1.573,37.32603645324707
1.56,37.431092739105225
1.547,37.53664231300354
1.521,37.64166617393494
1.508,37.74674320220947
1.495,37.85184836387634
1.482,37.95690560340881
1.457,38.062096118927
1.444,38.16715669631958
1.431,38.27225184440613
1.418,38.377382040023804
1.405,38.48259663581848
1.392,38.58768701553345
1.366,38.69274353981018
1.354,38.79782509803772
1.341,38.90297865867615
1.328,39.008070945739746
1.315,39.11316442489624
1.302,39.21830153465271
1.289,39.323267698287964
1.276,39.42814588546753
1.263,39.533339500427246
1.25,39.63822817802429
1.237,39.7431104183197
1.225,39.84799337387085
1.212,39.95308756828308
1.199,40.058430910110474
1.186,40.163493633270264
1.173,40.26868557929993
1.16,40.373764514923096
1.147,40.478880405426025
1.134,40.58405351638794
1.121,40.68906307220459
1.109,40.79412770271301
1.096,40.899208068847656
1.083,41.00426959991455
1.07,41.10931086540222
1.07,41.21439504623413
1.057,41.319499254226685
1.044,41.42468476295471
1.031,41.53013586997986
1.018,41.6352858543396
1.005,41.74058794975281
0.993,41.845696210861206
0.993,41.95074772834778
0.98,42.05589842796326
0.967,42.16102075576782
0.954,42.26608967781067
0.941,42.37126898765564
0.941,42.476335287094116
0.928,42.58138155937195
0.915,42.68652939796448
0.902,42.79158806800842
0.902,42.89667749404907
0.889,43.00172305107117
0.877,43.10679006576538
0.877,43.21181344985962
0.864,43.31690216064453
0.851,43.422000885009766
0.851,43.527371883392334
0.838,43.63247752189636
0.825,43.73758125305176
0.812,43.842679262161255
0.799,43.947776079177856
0.799,44.05323338508606
0.786,44.15844511985779
0.773,44.26339602470398
0.773,44.36830711364746
0.761,44.47319483757019
0.748,44.57806587219238
0.748,44.68295669555664
0.735,44.787832736968994
0.735,44.89276742935181
0.722,44.99791502952576
0.709,45.102972745895386
0.709,45.20805644989014
0.696,45.313162088394165
0.696,45.418225049972534
0.683,45.52347135543823
0.683,45.62848687171936
0.67,45.73358225822449
0.67,45.83862257003784
0.657,45.94402813911438
0.645,46.049214601516724
0.645,46.154308795928955
0.632,46.259406328201294
0.632,46.36452674865723
0.619,46.46962380409241
0.619,46.57491707801819
0.606,46.680004596710205
